train_ciou train_cls train_dfl test_ciou test_cls test_dfl
1.8417114705882351 1.2362158823529414 1.0364113235294117 2.5826184615384613 1.65814 1.0607530769230769
1.8558822058823528 1.2484582352941178 1.0389961764705882 2.5775884615384617 1.5823376923076926 1.0662123076923076
1.8324722058823528 1.2319263235294116 1.0388205882352943 2.5756969230769236 1.5842407692307694 1.057923076923077
1.8491416176470588 1.247657205882353 1.038633823529412 2.661297692307692 1.512767692307692 1.0764707692307696
1.857085294117647 1.247150294117647 1.036493382352941 2.6442038461538457 1.5952023076923079 1.0777084615384616
1.8416667647058824 1.2280560294117648 1.0391591176470585 2.593100769230769 1.5082515384615385 1.067263846153846
1.8402894117647057 1.229532205882353 1.0341557352941175 2.518098461538462 1.5365746153846152 1.055353076923077
1.5789738235294117 1.0512901470588236 0.951147794117647 2.3344461538461534 1.5330592307692308 1.0135061538461538
1.573876323529412 1.0117152941176475 0.9507185294117647 2.28311 1.883549230769231 1.0093523076923077
1.5656848529411764 1.0001488235294118 0.9485848529411763 2.310291538461539 1.589231538461538 1.0065223076923078
1.5592370588235294 0.9966477941176469 0.9491083823529413 2.2898446153846157 1.6117830769230772 1.0083676923076923
1.5425217647058824 0.9824516176470588 0.9448295588235293 2.3144176923076922 1.4843423076923077 1.0132946153846154
1.5516708823529408 0.9789892647058823 0.9474788235294118 2.314123076923077 1.510926153846154 1.0103369230769232
1.5446060294117647 0.9758041176470591 0.9466611764705883 2.3971015384615386 1.3900030769230771 1.0219553846153846
1.535924705882353 0.9717838235294117 0.9434964705882355 2.271873076923077 1.535316923076923 1.004706923076923
1.5338660294117643 0.9699529411764706 0.9417669117647058 2.3322776923076924 1.787419230769231 1.0116846153846155
1.5288967647058824 0.966276029411765 0.943408382352941 2.354197692307692 1.3077184615384616 1.0172192307692307
1.542964705882353 0.9645755882352941 0.9427864705882354 2.3227415384615386 1.5202115384615384 1.010603076923077
1.5313635294117645 0.9565808823529411 0.9423004411764706 2.3399 1.454863076923077 1.0126976923076922
1.5372798529411764 0.9576242647058825 0.9412555882352942 2.2566038461538462 1.6835523076923076 0.998456923076923
1.5248148529411765 0.9515473529411762 0.9406914705882352 2.3924399999999997 1.4109776923076924 1.0253207692307693
1.5203679411764706 0.9569670588235295 0.939045588235294 2.3499384615384615 1.4509861538461541 1.016496923076923
